,author,date,product_id,product_name,firm,rate,text,topic
17,Sergey Chebukov,28.10.15,PAH0014285-000,"BLX24E/SM58 S8, 823-832MHz Wireless Handheld System",Shure,5,"В эксплуатации 2 штуки больше года. Проблем с несущей частотой пока не замечено (хоть для России по частоте и не совсем подходит). Стабильный приём до 60 метров на открытой площадке(дальше не проверял). Традиционное высокое качество SHURE! Хороших батареек хватает на 12-14 часов работы. В комплекте надёжный чехол-чемодан, но нет провода xlr-xlr, покупайте отдельно. Советую для покупки!",Отличный микрофон
18,Денис,11.10.19,PAH0014285-000,"BLX24E/SM58 S8, 823-832MHz Wireless Handheld System",Shure,5,"Покупаю этот микрофон уже второй раз, и не последний! Все устраивает. Всем советую;)",Супер!
19,Sam,10.4.19,PAH0014285-000,"BLX24E/SM58 S8, 823-832MHz Wireless Handheld System",Shure,5,Доставка была достаточно быстрой до Сибири.  Качество хорошее. Доволен покупкой !,Good
20,Steam2003@mail.ru,11.11.19,PAH0014285-000,"BLX24E/SM58 S8, 823-832MHz Wireless Handheld System",Shure,5,Executive services,Excellent
21,MrBlackJ,2.2.17,REC0011558-000,P120 ,AKG,5,"Качественный, тяжелый, нешумящий, прекрасно подошел для женского вокала. Сравнивать пока не с чем, для первого микрофона он оправдал все ожидания. Интерфейс Tascam US 2x2 подружился с ним без проблем, гейн обычно 50 - 60%. Присутствуют отключаемые фильтр НЧ и аттенюатор -20dB.  Даже без обработки звук весьма неплохой. В комплекте только кронштейн для крепления на стойку, по этой причине за комплектацию 4.",Отличный майк!
22,Guzkoaleksandr@gmail.com,19.5.21,REC0011558-000,P120 ,AKG,5,"Шикарный звук, тяжелый по весу и очень чистое звучание!! Всем доволен!",Akg p120
23,Сергей ,16.8.21,REC0011558-000,P120 ,AKG,4,"Брал в первый раз, и не ошибся. Даже в момент короновируса, все приехало вовремя. ","Все пришло быстро, качественно "
24,Dmitry,11.2.18,REC0011558-000,P120 ,AKG,5,"I have been working with AKG for a long time, I never failed, excellent quality and price.Thanks to the fastening-adapter. A spider, I do not need it. Very comfortably.",AKG
25,Daniil,15.3.21,REC0011558-000,P120 ,AKG,5,"Отличное качество, все в целости , спасибо)",Akg p120
26,SteelTrueDrum,8.12.20,DRU0033617-000,"FloorTom Bag PBF14, 14""x14"", Powerpad Series",Tama,5,"I use this bag for storing and carrying a 14 inch Tama Superstar HD Floor Tom. Nice and sturdy bag. Strong zip red color. The label indicates the size on the side of the bag. Inside the bag there is a nice soft padding cushion. Now, during storage, the drum set began to take up much less space. I put the drums one on one in bags. If you really love your drum set - buy ""her"" protection from UV light, dust and accidental damage.",Storage and Carrying
27,Alexey Keller,18.8.19,SYN0006908-000,Sample Drum,Erica Synths,5,"Пока что лучший сэмплер из всех которыми доводилось пользоваться. Боялся, что интерфейс будет таким же сложным и неинтуитивным как у Октатрека или Дигитакта, но Эрика Синт проделали отличную работу. Всё понятно без мануала: вставил в рек, закинул семплы в деки и модулируй любые параметры. Идеально подойдёт для визуалов, которым сложно понять управление сэмплером на слух. Тут всё наглядно и очевидно.","Внезапно, прекрасный сэмплер"
28,Aleksandr Grigorash,30.7.21,DJE0004329-000V000192296,Traktor Scratch Control Vinyl MK2 Black (New Version),Native Instruments,5,отличное качество исполнения пластинки. есть метки на яблоко для скретча.,Native Instruments Traktor Scratch Timecode Vinyl MK2 Black
29,Dj Pomortsev,21.3.18,DJE0004329-000V000192296,Traktor Scratch Control Vinyl MK2 Black (New Version),Native Instruments,5,Можете не благодарить за отзыв. =) ,Это таймкод 1 пласт
30,Andrey,13.6.19,GIT0042309-000,PolyTune 3,TC Electronic,5,"This pedal includes two functionalities.1. Bonafide buffer2. TunerVery easy to use, fairly accurate setting.Ability to select True Bypass or Buffer. Great!",This is the best tuner!
31,Pavel,7.8.19,GIT0042309-000,PolyTune 3,TC Electronic,5,"Несколько режимов работы, Блестящее качество изготовления. Придраться просто не к чему.",Король среди тюнеров
32,Ivan,14.10.19,GIT0042309-000,PolyTune 3,TC Electronic,5,"Очень точно настраивает. До этого пользовался клипсами, с 6й струной постоянно были проблемы. С этим тюнером все четко. Рекомендую.",Лучший тюнер.
33,Alexandr Chekmarev,15.5.20,GIT0042309-000,PolyTune 3,TC Electronic,5,The best of the best!!!,Cool!!!
34,Maxim Kitsenko,27.1.20,ACC0003277-000, ,Cordial,5,"купил парочку таких и забыл про треск и прочие артефакты, это вам не китай за 39р, советую к покупке",Отличные провода
35,Artem,21.4.19,ACC0003277-000, ,Cordial,5,Качественный RCA кабель. Минусов не обнаружил,Cordial CFU
36,Roman,16.6.19,ACC0003277-000, ,Cordial,5,cool stuff,european quality
37,Василий,31.1.17,ACC0003277-000, ,Cordial,5,"Все стыки от и до проработаны, позолота итд, кэйбл как влитой",Отличный кэйбл
38,Dmitry ,22.10.20,GIT0047146-000,MA140 Acoustic SP 80/20 Bronze Light 12-54,Martin Guitars,4,"Струны хорошие, но не имеют каких либо защитных свойств и поэтому быстро загрязняются. Решается этот вопрос : играть чистыми руками)",Хорошо для своей цены 
39,Дмитрий,28.4.17,PCM0014338-000,iLok 3,Pace,5,"Внешний вид, удобство исполнения на уровне. Гораздо выше качество исполнения чем у предыдущих экземпляров.",Надежный ключ
40,Sergey,7.6.17,PCM0014338-000,iLok 3,Pace,5,"Прочный, надежный, компактный... и этим все сказано! ;)",Отлично!
41,Lime Martin,5.8.20,PCM0014338-000,iLok 3,Pace,5,Thanks to MusicStore for a best price!,Best price!
42,Natalya,30.10.21,PCM0014338-000,iLok 3,Pace,5,A good place to store licenses,Just Pace iLok 3
43,Георгий,3.4.21,PCM0014338-000,iLok 3,Pace,5,👌,👍🏻
44,Sergey Moroz,20.5.16,REC0008307-000,DUALZDIRECT passive DI Box,ART,5,Service at the height price please,put 5+
45,Sergey Popov,28.7.16,REC0004257-000,V69M Large Diaphram Tube Microphone,MXL,5,"The rich equipment , excellent packaging and carrying case included , and of course great sound ! Thank you! I'm happy!", Great device !
46,Inv,19.4.19,ACC0001169-003, ,MUSIC STORE,5,For professional use,Cable with good quality and price
47,Татьяна,3.6.20,ACC0001169-003, ,MUSIC STORE,5,Все супер,отличное качество
48,Dmitriy Lyashkov,19.8.16,REC0011282-000,MC-1 Mic Clamp for Guitar Amps,Fame Audio,5,Очень удобный и полезный инструмент для снятия звука!Удобно ставить - удобно снимать!Не занимает много места при транспортировке.,Оценка
49,Лебедев Алексей,27.3.18,REC0011282-000,MC-1 Mic Clamp for Guitar Amps,Fame Audio,5,"Удобно и практично. Что называется повесил и забыл. Купил для репетиционной базы. Микрофоны всегда зафиксированы. Например группе нужно сделать репетиционную запись оперативно. Не нужно нести стойки, подключать микрофоны и тд и тп.  ",Хороший клэмп
50,Александр Владичук,26.9.16,REC0001790-000,"SKDF 025 19"" Trolley 12+10HE, Wheels",Fame Audio,5,Немного пришлось повозиться со сборкой. Слегка отогнул уши микшерного кронштейна и все стало на место. Доволен.,"Меня устраивает, все хорошо."
51,Сергей Кавин,15.4.16,REC0001790-000,"SKDF 025 19"" Trolley 12+10HE, Wheels",Fame Audio,5,"Excellent Front which could well compete with more expensive models, the build quality is on the 4th as for me but it's only small stuff. Assembling easily assembled one. Very happy advise.",excellent Front
52,dj_zeex@mail.ru,1.12.19,REC0005883-000,Pro VLA II 2-Channel Compressor,ART,5,"Очень Легок в использовании, чуть резковат, но звук шикарный! За свои деньги это превосходный товар с таким качеством звучания!!!! Спасибо!",Это великолепно!
53,Valery,15.6.20,REC0014613-000,PRE-73 DLX PREMIER,Golden Age Project,5,Great preamp with vintage warm tone. ,Golden Age Premiere 73 DLX
54,Игорь,10.10.17,GIT0033161-000,AJ220 SCE VS Vintage Sunburst,Epiphone,5,"Очень сбалансированная по всему музыкальному диапазону гитара.Из коробки сразу стоят качественные струны 12 го калибра, фосфорная бронза. Профиль матового грифа удобен как на всех Гибсонах и Эпифонах. Внешнее исполнение можно было считать отличным, если бы не постоянно отваливающаяся буква Е на пикгарде. Бриджевый порожек похож на костяной.Прекрасно читаются аккорды и боем и перебором, ноты не сваливаются в "" кашу"", приятные обертона ( спасибо деке из массива ели ).При подключении- звук чистый без фонового шума, правда перкуссия по корпусу передается слабо, лучше использовать внешний микрофон, для любителей фингерстайла. Встроенный тюнер точный и удобный.Наверное это самый лучший выбор из электроакустических гитар в категории до 200-220 евро. Короче, категорически рекомендую.",Отличный инструмент.
55,Даке,24.2.17,GIT0033161-000,AJ220 SCE VS Vintage Sunburst,Epiphone,5,"Долгожданная гитара! Несколько затянувшаяся доставка до Казахстана (почти месяц :)).  Но ожидание оправдалось!  Первые впечатлени: звук вкусный, объемный и не бочковатый. Дребезжание ладов в пределах допустимого (еле ощутимо на паре ладов на 5 стр) и это легко исправить, если это принципиально.  Пока гитару не подключал и преамп не тестил. Отдельно хочу сказать о качестве изготовления. Отлично исполненная гитара, удивительно качественно. Меня впечатлило, гитара сделана в Индонезии. Выглядит гитара отлично, матовый гриф , глянец лака без единой царапины. Фирмово можно сказать. Слава Богу при доставке ничто не повредилось. Заключение гитара стоит каждого цента, пенни, копейки, теньгушечки и даже больше!!! Отличная цена, у себя здесь в КЗ даже не пытался искать, цены в 1.5, 2 раза выше. Короче.. Счастье оно есть)))!!!",Сверх ожиданий!
56,Gerardo,13.7.19,BLA0003477-000,"Bite Plate 0.03"" (0,8mm) For Clarinet/Saxophone",Monzani,5,"Affordable and they accomplish their purpose.Use these cushions to protect your mouth piece, to protect sensitive teeth from vibration, or simply for extra comfort.",Good enough
57,enrico,18.3.17,DRU0027616-000,"Wrist Bell NINO961GR, Green",Meinl,3,nothing special to say.good staffit works,Meinl Wrist Bell NINO961GR
58,Андрей,23.4.19,ACC0002614-000,Plektrum Büffelhorn,John Pearse,5,"Очень удобный медиатор. Большой. На обратной стороне выемка для указательного пальца, что придаёт доп. удобство в использовании.",Удобно.
59,gluecifer23,27.9.21,GIT0035484-000,Flying-V Case 940-EVCS,Epiphone,5,"Удобный , красивый и эффектный чехол.Мечта любого мужика","Не чехол ,а Бентли "
60,Павел,15.5.19,GIT0040092-000,Blood Moon Phaser,TC Electronic,5,Прекрасно работает и выполняет поставленные задачи. ,За свои деньги - замечательный прибор.
61,Dmitrii,22.5.17,GIT0040092-000,Blood Moon Phaser,TC Electronic,5,"Good price for small money, light weight, good build.",Good price for small money
62,Serzhantov Oleg,24.11.17,KEY0004681-000,PA-700,Korg,5,"Новинка появившаяся у Корга - это красивый, лёгкий, интуитивно-понятный синтезатор -  аранжировщик, привлекает к себе большим количеством звуков, функциями обработки как звуков так и ритмов, ёмкостью пользовательских ячеек памяти, компания KORG уже заслужила уважение всего мира по качеству звучания и реалистичности звуков в музыкальных инструментах , и держит свои позиции, этими хорошими качествами не обделён и Korg Pa 700! MUSIC STORE лидирующий магазин имея в продаже данный музыкальный инструмент Новинку, этим самым объясняет что качество данного инструмента на высоте, и можно смело его приобретать именно в MUSIC STORE так как магазин предварительно заслужил и заслуживает Уважение качеством товаров и обслуживанием клиентов во всём мире! MUSIC STORE уже сбавил цену на данный синтезатор, и я уже начал копить средства на покупку данного инструмента, очень он мне понравился! Огромное Уважение из России MUSIC STORE, и конкретнее из Нижегородской области!!! ",Впечатления по знакомству
63,Svyatoslav Moroz,5.5.18,PCM0011450-000,MPX Native Reverb Plug-In   ,Lexicon,5,Простой в работе и легко настраиваемый плагин от Lexicon.Рекомендую для быстрой работы без сложных настроек плагина при обработке дорожек в демо записях музыки и спектаклей (постановок)на любительском и профессиональном уровне.Очень демократичная цена,Lexicon MPX
64,Rustem Azamatov,9.4.20,GIT0008841-000,14761 Gitarrenspielstõnder for Akustikgitarre Black,König & Meyer,5,"Купил концертную стойку для акустической гитары. Никогда ранее ничего подобного не использовал, но возникла насущная необходимость. Ничего не знал про подобные приспособления и ожидал чего-то сильно компромиссного, типа, ну ладно, как-то использовать можно - и на том спасибо. В реальности получил максимально устойчивую конструкцию с надежными и разумными креплениями, позволяющую не беспокоиться за инструмент. Максимально положительная оценка.",Реальность превзошла ожидания
65,Kirill Rozanov,26.3.19,GIT0033409-000,EB2566 12-54 Aluminum Bronze ,Ernie Ball,5,"Купил на пробу, теперь только на них и играю! Такого бархатистого звучания пока ни у одних струн не встречал. Довольно живучие. Рекомендую!",Струны супер!
66,RR,16.12.20,GIT0018303-000,E-Git.String EXL117 11-56 Drop Nickel Wound Drop D Tuning,D'Addario,5,"I use this set on a 25.5'' superstrat with a floyd-like tremolo in dropC. The tension feels similar to 10-46 set in standard tuning on the same guitar. Overall, good strings.",Good set for dropC
67,Alejandro,28.1.20,GIT0018303-000,E-Git.String EXL117 11-56 Drop Nickel Wound Drop D Tuning,D'Addario,5,Good strings,For real choppy riffs
68,Сергей,17.3.21,GIT0001387-004, ,Fender,5,Комплект отличный,Резистор
69,Михаил,31.3.17,REC0004725-000,DT238 Table Top Mic Stand,Fame Audio,5,"Удобная вещь в домашней студии. Освобождает место на столе. В комплекте идет xlr провод. На вид провод и разъем не топ класса, но с учётом того что это всё используется в помещении и переподключается очень редко меня всё устраивает. В конце концов, провод можно и заменить. Не думаю, что за такие деньги можно найти лучше.",Хороший выбор для домашней студии
70, Stanislav,24.2.16,GIT0028323-000,Micro Cube GX (Black),Roland,4,"Combo is perfect for practicing in the flat, as well as for people who move frequently and want to practice constantly.This combo will acquaint beginners with the main existing effects and learn to combine them.",The best option for home
71,Илья,13.10.21,PAH0018487-000,"SP 3332 B Distanzstange verstellbar, 35/35mm",Gravity,5,Хорошее качество,Круто
72,Darovskih Igor,23.8.19,BLA0003954-000,Maintenance Kit For Saxophone,Monzani,4,Все хорошо,Отзыв
73,Gerardo,13.7.19,BLA0003954-000,Maintenance Kit For Saxophone,Monzani,5,These maintenance pack came as a gift with the Sax and indeed its full of useful accessories. ,Nice pack
74,Sergej,15.7.21,BLA0003954-000,Maintenance Kit For Saxophone,Monzani,5,Ok!,Ok!
75,Dmitri,18.10.16,LIG0013274-000,LED NANO PAR black 12×1W LED RGBW,lightmaXX,5,"Simple and light. But i can not say it is RGB, each led of one colour. And too much sets of menu for such a simple device. The price is the best!",For price!)
76,Mikhail Shalamov,8.3.19,GIT0041346-000,Hard-Case ABS Deluxe (Acoustic Guitar),Fame,4,"Unbeatable value for the money! Very neat quality, OK for most Western guitars - Dreadnoughts and Grand Auditoriums. GA bode may require the belt which you may lay beside the body to fix the guitar from moving in the case. Be careful with 12-strings though - they may be even longer than 110 sm! Of course, this case does not have rubber seal to keep the moisure in, but you may do it yourself. Not heavy, very handy and strong.",Fame ABS plastic case
77,Kirill Rozanov,14.7.19,GIT0041346-000,Hard-Case ABS Deluxe (Acoustic Guitar),Fame,4,"В целом хороший, прочный, удобно носить. В случае с моей гитарой, для того, чтобы закрылась крышка, надо сдвигать её до упора вниз. Нет запаса по высоте, особенно для верхнего порожка.",Хороший кейс
78,Mysolarsystem,3.8.20,REC0012398-000,Halo Reflection Filter,Aston Microphones,5,"Impress by Aston technologies! Expensive, but coollooking design. ",Good quality
79,Ivan Nikitin,13.5.16,GIT0001321-002, ,Göldo,4,A very good solution for low-cost modding your guitar,Solution for cheap tuning
80,Aleksey,29.10.21,SYN0007313-000, ,Arturia,5,"Доехала в Пермский край целой. Клавиши приятные, тихие. Сама клавиатура не хлипкая, не скрипт. По ощущения крепкая, надежная. На столе стоит как влитая. Мелодии придумывать стало проще, чем в пиано-ролл.",Покупкой доволен
81,grinboytoha2009@gmail.com,15.1.20,SYN0007313-000, ,Arturia,4,+качественная сборка +классный дизайн +сила нажатая клавиш  - не полноразмерные клавиши ,отличный инструмент для начинающих 
82,bulavinaie@gmail.com,28.11.19,REC0009439-000,AX Wall Mount / Wandhalter für A3X/A5X / Stückpreis,Adam Audio,5,Praktische Wandhalterung.Sehr schnelle Lieferung nach Russland. 2 Wochen.Ausgezeichnete Qualität.Der perfekte Laden.,Danke
83,Ivan ,17.10.20,GIT0049652-000,P-Split III,Lehle,5,I would like to thank the music store team for their prompt work and good packaging quality. No pretensions. Only good mood,Didn't expect to come to Russia so quickly
84,Сергей Мерц,23.9.16,PAH0006328-000,6105 Aluminium Case Angle 30 x 30 mm,Adam Hall,5,All Fine +,Adam Hall Aluminium case angle
85,Lime Martin,5.8.20,SYN0002520-000V000190681,"VFP 2/10 Doppelped. Schliesser für Korg,Casio 2 Mono Stecker",Studiologic,5,"Simple and made with attention to detail. Quality materials, excellent assembly, great price!",Excellent quality!
86,Ruslan,3.3.21,LIG0016909-000,Fog 400,PURElight,5,Для частных вечеринок до 50 человек отлично.,Я доволен.
87,Stanislav Kalinin,23.11.19,DRU0035632-000,Pure Alloy Medium Hi-Hat PA14MH,Meinl,5,"The hi hat sounds clear, bright. I play pop-music and it is perfect for it. But it could be used for rock music as well. Awesome hat :)",Very cool Hi-Hat. 
88,Erschov Boris.,26.4.17,ACC0002337-000, ,Neutrik,5,"Даже не думал,что это может быть так просто.Пара минут и твой кабель на мероприятии уже никто не перепутает со своим,как бывает очень часто.Я использую колечки красного цвета.И уже на нескольких мероприятиях у меня не пропали ни одного кабеля.",Очень полезная вещь.
89,Dmitriy ,6.5.19,SYN0006845-000,Volca Drum,Korg,5,I’m very happy to own one the greatest volca instrument of all time!))) It’s so fun to play! it has instant response to my actions and huge variety of sounds. Thanks music store for shipping this beast to me),Great instrument!
90,Renat,22.1.20,SYN0006845-000,Volca Drum,Korg,5,"This box is absolutely amazing,the quality of the build is a top notch,sound is brilliant,a lot of options and settings,i hadn't had any experience with stuff like that before, so I had to spend some time to get the idea how it worked,luckilya lot of tutorials i could find on the internet. For delivery to Russia/St-Pete it took 8 daysThanks musicstore for a such great experience=)  ",ambient machine
91,Mary dear Form,8.11.21,DRU0031840-000,"Kick Pedal Iron Cobra, HP600D, Duo Glide",Tama,5,"Удобно, возможно, для новичка может показаться «тяжёлой», но от этого для профи только выигрывает, расширяя диапазон звука.Удобный и беспроигрышный вариант для heavy metal, power metal, doom metal.","Отличная, надежная педаль"
92,Konstantin ,26.1.16,BAS0005399-000, ,Markbass,5,"Excellent quality, low weight, good frequency characteristics, the perfect complement to MarkBass CMD 151 P Jeff Berlin combo",Super cabinet
93,SteelTrueDrum,22.4.21,REC0013118-000,HA6000,Behringer,5,If you want to make 6 individual mix for each musician - it will be your choice! I used Behringer HA4700 until recently. This one sounds better!,Very useful device for musicians
94,Vladimir,18.12.16,GIT0013708-000,"E-Guitar Strings,09-46 round wound",Fame,4,"Струны удивил своим качеством в данной ценовой категории. Это конечно не топ сегмент, и профессионально я бы врядли стал их использовать (для студийной записи например). Но для повседневной игры, репетиций, тренировок и упражнений - это ОТЛИЧНЫЕ СТРУНЫ! ",Удивительно :)
95,Dmitrijs Pogrebickis,1.12.15,LIG0010731-000,Z-350 Professional Fazer ,Antari,5,"До Латвии доехало за три дня это очень быстро!!! Заказ обрабатовали два дня это долго!! Не договорились о цене, сначала я оплатил, а потом они сделали скидку, но было уже поздно,так сойдёт :))",Antari Z-350 Professional Fazer
96,Oleg,14.3.19,GIT0001478-004, ,Seymour Duncan,5,"These classic PAF - on telecaster in neck position nice warm and deep sound, really vintage. I like it!",Great pickup
97,serg,24.6.19,SYN0006985-000,X-PAN,Make Noise,5,Great pan/crossfade/vca/mixer really fun to play with!,PAN!
98,Maxim,16.7.21,DRU0034315-000,Silent Tips TCP20,Tama,2,It will not make your sounds more quiet. Will only work if you want to practice on a stone.,It doesn't work
99,Anatoly,7.4.19,DRU0034315-000,Silent Tips TCP20,Tama,5,Хороший отскок от любой твердой поверхности и практически бесшумно,Отличный выбор для постоянных тренировок
100,Sergey,14.8.19,REC0014171-000,Rokit RP5 G4 (Single),KRK,5,"Идеально для домашней студии, очень хорошо все прослушивается, мониторами доволен!",Отличные мониторы
101,Mark_O,13.5.20,REC0014171-000,Rokit RP5 G4 (Single),KRK,5,"Регулировать громкость и настраивать EQ не удобно, на ощупь не удастся, нужно разворачивать колонку, но это мелочь, главное что звучат хорошо!",Rokit RP5 G4
102,Vladimir,11.3.21,REC0014171-000,Rokit RP5 G4 (Single),KRK,5,"I use these monitors for listening to music at home. Kachkstvennoe zvuchani, I really like it!",KRK Rokit RP5 G4 for home use
103,Dmitry,18.11.19,REC0014171-000,Rokit RP5 G4 (Single),KRK,5,Amazing! Best monitors! Strongly recomend! ,Krk 5G4
104,Vlad,19.3.21,REC0014171-000,Rokit RP5 G4 (Single),KRK,5,So cool,Krk 
105,Vitaly,4.6.18,REC0010412-000V000167537,"Sceptre S8 8"" Coaxial Lautsprecher",Presonus,5,"I thought the Presonus brand was something cheap and does nothing but sound interfaces. I was wrong! Whoa! I've never heard anything like it! the sound and detail are amazing! before that, I used the yamaha hS80 and Tannoy reveal8 garbage! The price is important, so I advise you not to save money, and take serious monitors! The only thing I'm downgrading is the plastic front panel. p.s. Only the Genelec 8350 sounded better in my control room. ",WOW
106,Dmitry Nikulin,26.5.19,PAH0000168-000,Beta 57 A dynamic Microphone,Shure,5,Работает. Инструменты пишет отлично!,Shure Beta 57 A dynamic Microphone
107,Алексей,20.8.18,PAH0000168-000,Beta 57 A dynamic Microphone,Shure,5,"На упаковке написано - ""сделано в Мексике"". Уже использую 2 таких. Нареканий нет","Да, это микрофон)"
108,Dmitry Maslov,2.10.16,KEY0003300-000,"3D-120S Keyboard Stand for 3 keyboards, silver",Jaspers,5,Excellent goods!!!! Highly recommend!!!,Excellent goods!!!!
109,Ivan,8.7.17,PAH0008907-000,K12 Tote Bag Protective Cover/Bag for QSC K12,QSC,5,незаменимая вещь для тех кто работает на выездных мероприятиях и постоянно таскает колонки. Сумка из отличного материала с удобными ручками. Очень удобно сделана молния на сумке благодаря чему удобно укладывать и вынимать колонку. Полностью доволен товаром,супер
110,Max Lutsenko,16.11.21,DRU0017572-000,BBC-1 Masking Plate Cover for Bass Drum Rosette BB-3,Pearl,5,Now my two bass drums looks more sexy :),Nice plate instead tom rosette
111,Алексей Лебедев,27.3.18,PAH0018582-000,Emperor 10 DSP,Fame Audio,5,"Очень лёгкая колонка с очень приличным звучанием. Купил для использования в качестве монитора для вокала на репетиционной базе. Свою задачу выполняет на 5. Громко, с хорошим давлением, никакой обратной связи. ",Отличный прибор!
112,Макс,19.12.18,PAH0018582-000,Emperor 10 DSP,Fame Audio,4,"За эту сумму- это отличный вариант.Чуть-чуть не хватает прозрачности, но это лего исправить при помощи DSP процессора или микшерного пульта, прибавив средних и высоких частот.Сам процессор DSP  работает хорошо.Я доволен товаром.",FAME 10 A DSP
113,Dmitry Novikov,12.7.20,SYN0007190-001,Microlab (Black),Arturia,5,Good midi for professionals and not only,Good midi
114,oleg_harp,20.8.17,GIT0018373-000,AC15 C1,VOX,5,"Честно говоря еще не испытывал. А где его испытаешь на нормальном звуке? Он громкий как гудок паровоза. Нужно ждать какой-нибудь концерт. Видел в Москве на цветочном фестивале на улице на Кузнецком мосту гитарист играл на VOX с группой. О, думаю, AC30 какой здоровый и громкий. Приходит мой AC15, а это оказывается он и был. Так что, обратите внимание на размеры. Покупал по другим отзывам и видео в интернете. Классика усиления, что еще сказать. К musicstore нареканий нет. Упаковка, доставка на высоте.",Превосходный продукт
115,Дмитрий,4.6.20,BAS0005514-000, ,MXR,5,Лучший педальный компрессор.,Отличный компрессор
